year,month,game_id,gameday,away_team,temp,referee,overtime,week,wind_per_month
2013,Jan,2012_19_HOU_NE,2013-01-13,HOU,51,Tony Corrente,0,19,14
2013,Jan,2012_20_BAL_NE,2013-01-20,BAL,41,Bill Leavy,0,20,14
2013,Sep,2013_02_NYJ_NE,2013-09-12,NYJ,72,Carl Cheffers,0,2,8.5
2013,Sep,2013_03_TB_NE,2013-09-22,TB,65,Jeff Triplette,0,3,8.5
2013,Oct,2013_06_NO_NE,2013-10-13,NO,59,Tony Corrente,0,6,10
2013,Oct,2013_08_MIA_NE,2013-10-27,MIA,53,Walt Anderson,0,8,10
2013,Nov,2013_09_PIT_NE,2013-11-03,PIT,44,Walt Coleman,0,9,14
2013,Nov,2013_12_DEN_NE,2013-11-24,DEN,22,Gene Steratore,1,12,14
2013,Dec,2013_14_CLE_NE,2013-12-08,CLE,30,Jerome Boger,0,14,6.5
2013,Dec,2013_17_BUF_NE,2013-12-29,BUF,39,Ed Hochuli,0,17,6.5
2014,Jan,2013_19_IND_NE,2014-01-11,IND,57,Peter Morelli,0,19,18
2014,Sep,2014_03_OAK_NE,2014-09-21,OAK,78,Peter Morelli,0,3,11
2014,Oct,2014_05_CIN_NE,2014-10-05,CIN,47,Jerome Boger,0,5,8.333333333333334
2014,Oct,2014_07_NYJ_NE,2014-10-16,NYJ,64,Bill Leavy,0,7,8.333333333333334
2014,Oct,2014_08_CHI_NE,2014-10-26,CHI,54,Brad Allen,0,8,8.333333333333334
2014,Nov,2014_09_DEN_NE,2014-11-02,DEN,35,Walt Anderson,0,9,13
2014,Nov,2014_12_DET_NE,2014-11-23,DET,58,Tony Corrente,0,12,13
2014,Dec,2014_15_MIA_NE,2014-12-14,MIA,43,Bill Vinovich,0,15,9
2014,Dec,2014_17_BUF_NE,2014-12-28,BUF,49,Terry McAulay,0,17,9
2015,Jan,2014_19_BAL_NE,2015-01-10,BAL,20,Bill Vinovich,0,19,13.5
2015,Jan,2014_20_IND_NE,2015-01-18,IND,51,Walt Anderson,0,20,13.5
2015,Sep,2015_01_PIT_NE,2015-09-10,PIT,65,Carl Cheffers,0,1,6.5
2015,Sep,2015_03_JAX_NE,2015-09-27,JAX,68,Walt Coleman,0,3,6.5
2015,Oct,2015_07_NYJ_NE,2015-10-25,NYJ,58,Bill Vinovich,0,7,9.5
2015,Oct,2015_08_MIA_NE,2015-10-29,MIA,58,Peter Morelli,0,8,9.5
2015,Nov,2015_09_WAS_NE,2015-11-08,WAS,54,Terry McAulay,0,9,10
2015,Nov,2015_11_BUF_NE,2015-11-23,BUF,29,Gene Steratore,0,11,10
2015,Dec,2015_13_PHI_NE,2015-12-06,PHI,52,Peter Morelli,0,13,8.5
2015,Dec,2015_15_TEN_NE,2015-12-20,TEN,40,Walt Coleman,0,15,8.5
2016,Jan,2015_19_KC_NE,2016-01-16,KC,38,Craig Wrolstad,0,19,6
2016,Sep,2016_02_MIA_NE,2016-09-18,MIA,79,Craig Wrolstad,0,2,7
2016,Sep,2016_03_HOU_NE,2016-09-22,HOU,68,Walt Coleman,0,3,7
2016,Oct,2016_04_BUF_NE,2016-10-02,BUF,56,Peter Morelli,0,4,10.5
2016,Oct,2016_06_CIN_NE,2016-10-16,CIN,66,Ron Torbert,0,6,10.5
2016,Nov,2016_10_SEA_NE,2016-11-13,SEA,43,Gene Steratore,0,10,3
2016,Dec,2016_13_LA_NE,2016-12-04,LA,39,Jerome Boger,0,13,5.666666666666667
2016,Dec,2016_14_BAL_NE,2016-12-12,BAL,31,Ed Hochuli,0,14,5.666666666666667
2016,Dec,2016_16_NYJ_NE,2016-12-24,NYJ,40,Gene Steratore,0,16,5.666666666666667
2017,Jan,2016_19_HOU_NE,2017-01-14,HOU,28,Peter Morelli,0,19,8
2017,Jan,2016_20_PIT_NE,2017-01-22,PIT,41,Terry McAulay,0,20,8
2017,Sep,2017_01_KC_NE,2017-09-07,KC,63,Bill Vinovich,0,1,6
2017,Sep,2017_03_HOU_NE,2017-09-24,HOU,84,John Parry,0,3,6
2017,Oct,2017_04_CAR_NE,2017-10-01,CAR,61,Jerome Boger,0,4,5.333333333333333
2017,Oct,2017_07_ATL_NE,2017-10-22,ATL,56,Gene Steratore,0,7,5.333333333333333
2017,Oct,2017_08_LAC_NE,2017-10-29,LAC,62,Peter Morelli,0,8,5.333333333333333
